日,経225先物1限月 日,中,前場・後場足,,,,
日,付,始値,高値,安値,終値,出来高,売買代金
2007年2月2日,前場,17580,17650,17580,17630,44434,782346630
2007年2月2日,後場,17600,17640,17540,17590,52705,927037450
2007年2月5日,前場,17530,17540,17360,17400,66126,1152512740
2007年2月5日,後場,17410,17430,17300,17350,51680,896727270
2007年2月6日,前場,17410,17450,17380,17420,34241,596275440
2007年2月6日,後場,17400,17440,17350,17430,42200,734322750
2007年2月7日,前場,17360,17380,17230,17240,55877,966911340
2007年2月7日,後場,17230,17310,17190,17290,55319,954050520
2007年2月8日,前場,17390,17410,17330,17350,43626,757738660
2007年2月8日,後場,17330,17340,17220,17280,60545,1046187660
2007年2月9日,前場,17330,17410,17290,17400,47388,822226040
2007年2月9日,後場,17390,17550,17380,17510,69256,1211719770
2007年2月13日,前場,17460,17640,17450,17620,51205,898703290
2007年2月13日,後場,17570,17630,17540,17600,55728,980002700
2007年2月14日,前場,17650,17770,17650,17730,53446,947173680
2007年2月14日,後場,17740,17800,17730,17780,47769,848900950
2007年2月15日,前場,17930,17940,17820,17860,51600,922219500
2007年2月15日,後場,17860,17920,17850,17890,50778,908201930
2007年2月16日,前場,17820,17890,17790,17840,41547,741237040
2007年2月16日,後場,17840,17900,17820,17870,32839,586428710
2007年2月19日,前場,17830,17940,17810,17910,37163,665019390
2007年2月19日,後場,17910,17980,17910,17920,37023,664388050
2007年2月20日,前場,17920,17930,17820,17840,40053,715832330
2007年2月20日,後場,17850,17960,17840,17960,42454,760795230
2007年2月21日,前場,17890,17970,17880,17940,33157,594626200
2007年2月21日,後場,17940,17970,17850,17930,70454,1262024900
2007年2月22日,前場,18050,18120,18030,18120,50050,904805540
2007年2月22日,後場,18100,18140,18060,18090,46093,834321400
2007年2月23日,前場,18110,18150,18050,18130,44535,806663210
2007年2月23日,後場,18130,18240,18100,18220,59344,1079440880
2007年2月26日,前場,18260,18310,18250,18270,35965,657368820
2007年2月26日,後場,18270,18280,18150,18230,57490,1046713420
2007年2月27日,前場,18250,18280,18170,18220,45273,825214970
2007年2月27日,後場,18180,18190,18070,18110,60609,1098658830
2007年2月28日,前場,17440,17570,17340,17480,122595,2141058140
2007年2月28日,後場,17500,17590,17490,17540,79399,1392642700
2007年3月1日,前場,17480,17560,17380,17410,60419,1056068530
2007年3月1日,後場,17390,17440,17260,17390,86989,1509758650
2007年3月2日,前場,17370,17370,17160,17220,82829,1429892220
2007年3月2日,後場,17280,17350,17160,17160,68397,1180072120
2007年3月5日,前場,16840,16940,16780,16860,71809,1210572320
2007年3月5日,後場,16830,16850,16520,16630,106218,1772888730
2007年3月6日,前場,16660,16830,16640,16780,82898,1386271160
2007年3月6日,後場,16840,16880,16780,16820,70353,1184508330
2007年3月7日,前場,16990,17000,16750,16750,63929,1080604940
2007年3月7日,後場,16800,16920,16720,16760,74573,1253599110
2007年3月8日,前場,16700,16800,16670,16740,36898,617523570
2007年3月8日,後場,16770,17090,16760,17070,54454,923163300
2007年3月9日,前場,17070,17200,17070,17090,65273,1118178580
2007年3月9日,後場,17060,17180,17040,17110,62783,1074090330
2007年3月12日,前場,17270,17280,17190,17220,38352,661260930
2007年3月12日,後場,17240,17280,17140,17280,43193,743380660
2007年3月13日,前場,17220,17250,17140,17180,39007,670796210
2007年3月13日,後場,17190,17210,17090,17130,59172,1014675160
2007年3月14日,前場,16720,16780,16610,16630,71578,1195497320
2007年3月14日,後場,16600,16680,16550,16550,70538,1171345020
2007年3月15日,前場,16740,16870,16700,16830,56842,953657640
2007年3月15日,後場,16840,16880,16780,16800,49701,836180210
2007年3月16日,前場,16720,16750,16580,16640,56194,936379510
2007年3月16日,後場,16690,16870,16660,16700,85424,1431090200
2007年3月19日,前場,16640,16880,16630,16810,58580,982113830
2007年3月19日,後場,16860,17000,16850,17000,61480,1040268370
2007年3月20日,前場,17130,17220,17100,17130,49750,853158610
2007年3月20日,後場,17130,17170,17070,17140,46162,790610600
2007年3月22日,前場,17400,17430,17360,17400,38402,667972510
2007年3月22日,後場,17420,17430,17330,17380,33823,587956740
2007年3月23日,前場,17460,17490,17340,17390,43720,761545860
2007年3月23日,後場,17420,17460,17370,17440,46399,808060290
2007年3月26日,前場,17450,17490,17360,17410,34706,604814670
2007年3月26日,後場,17410,17480,17410,17470,35468,618917840
2007年3月27日,前場,17390,17540,17380,17520,40382,704282420
2007年3月27日,後場,17520,17520,17340,17430,54948,957169730
2007年3月28日,前場,17390,17470,17360,17400,35995,626601320
2007年3月28日,後場,17360,17370,17160,17250,80388,1386956300
2007年3月29日,前場,17150,17190,17050,17110,45715,782827320
2007年3月29日,後場,17200,17380,17200,17270,65468,1132131070
2007年3月30日,前場,17330,17420,17280,17360,40452,701902740
2007年3月30日,後場,17310,17380,17290,17310,40111,695000060
2007年4月2日,前場,17390,17460,17350,17400,39280,683534890
2007年4月2日,後場,17410,17410,17020,17030,91224,1566567910
2007年4月3日,前場,17180,17210,17120,17190,41351,709892630
2007年4月3日,後場,17190,17310,17150,17270,49078,846562780
2007年4月4日,前場,17440,17580,17420,17530,57798,1011022610
2007年4月4日,後場,17540,17610,17510,17580,42041,738540890
2007年4月5日,前場,17520,17550,17450,17490,45028,788355290
2007年4月5日,後場,17470,17540,17450,17530,33291,582873430
2007年4月6日,前場,17530,17580,17450,17470,32983,577734220
2007年4月6日,後場,17490,17530,17480,17530,25102,439577430
2007年4月9日,前場,17640,17780,17630,17730,53157,940900770
2007年4月9日,後場,17740,17770,17690,17760,32694,579958910
2007年4月10日,前場,17660,17740,17640,17650,33388,590341160
2007年4月10日,後場,17660,17710,17640,17690,29776,526383010
2007年4月11日,前場,17700,17740,17670,17690,26722,473102250
2007年4月11日,後場,17680,17710,17650,17700,30977,547788760
2007年4月12日,前場,17620,17630,17470,17510,56795,996020430
2007年4月12日,後場,17510,17570,17490,17520,37763,662027650
2007年4月13日,前場,17680,17690,17550,17600,34455,607292580
2007年4月13日,後場,17570,17570,17340,17400,72454,1262123360
2007年4月16日,前場,17570,17730,17530,17690,54477,961003940
2007年4月16日,後場,17670,17720,17630,17650,38237,675662480
2007年4月17日,前場,17800,17810,17680,17690,46230,820858650
2007年4月17日,後場,17660,17660,17470,17610,75230,1320884310
2007年4月18日,前場,17600,17730,17550,17680,51088,901817940
2007年4月18日,後場,17690,17720,17600,17660,42032,742471310
2007年4月19日,前場,17510,17540,17420,17420,68384,1195343540
2007年4月19日,後場,17340,17420,17230,17390,86019,1490798160
2007年4月20日,前場,17490,17530,17420,17460,46460,811968760
2007年4月20日,後場,17490,17500,17410,17410,30048,524444560
2007年4月23日,前場,17630,17680,17610,17640,33915,598500770
2007年4月23日,後場,17650,17650,17420,17480,66558,1164701070
2007年4月24日,前場,17370,17430,17320,17330,44433,771825350
2007年4月24日,後場,17330,17520,17330,17450,56037,978150380
2007年4月25日,前場,17370,17390,17240,17290,53120,919529980
2007年4月25日,後場,17270,17340,17250,17280,43814,757419130
2007年4月26日,前場,17380,17430,17330,17380,36084,627182040
2007年4月26日,後場,17430,17520,17420,17460,55336,967305950
2007年4月27日,前場,17380,17560,17340,17380,69689,1216741170
2007年4月27日,後場,17390,17450,17300,17410,76954,1336725890
2007年5月1日,前場,17420,17430,17210,17250,60874,1053083350
2007年5月1日,後場,17270,17320,17240,17280,41290,713752990
2007年5月2日,前場,17330,17350,17240,17320,35081,606516070
2007年5月2日,後場,17340,17460,17340,17440,51738,901030990
2007年5月7日,前場,17630,17730,17630,17670,42088,743991690
2007年5月7日,後場,17680,17730,17660,17690,39244,694693180
2007年5月8日,前場,17650,17730,17640,17660,37312,659486530
2007年5月8日,後場,17640,17690,17600,17670,44812,790945770
2007年5月9日,前場,17630,17680,17620,17670,32056,565696970
2007年5月9日,後場,17660,17770,17650,17750,48501,860025810
2007年5月10日,前場,17810,17850,17750,17750,42807,762083900
2007年5月10日,後場,17760,17800,17720,17770,37981,674548720
2007年5月11日,前場,17590,17610,17460,17500,65516,1149278430
2007年5月11日,後場,17490,17570,17480,17540,46559,816271120
2007年5月14日,前場,17720,17770,17700,17740,36817,653000440
2007年5月14日,後場,17790,17790,17680,17710,37800,670018000
2007年5月15日,前場,17570,17620,17510,17540,49138,863354220
2007年5月15日,後場,17570,17590,17500,17550,46721,819695480
2007年5月16日,前場,17500,17540,17440,17480,45589,797242790
2007年5月16日,後場,17500,17570,17460,17560,47207,827042000
2007年5月17日,前場,17610,17670,17610,17630,39686,699696430
2007年5月17日,後場,17630,17630,17480,17530,52242,916412920
2007年5月18日,前場,17580,17580,17420,17460,46835,819243980
2007年5月18日,後場,17470,17480,17330,17400,68159,1184861090
2007年5月21日,前場,17470,17530,17410,17500,46161,806592780
2007年5月21日,後場,17510,17610,17500,17560,54391,955423750
2007年5月22日,前場,17570,17680,17550,17660,44496,783833820
2007年5月22日,後場,17650,17740,17570,17690,63087,1113874050
2007年5月23日,前場,17750,17810,17740,17740,45715,812463100
2007年5月23日,後場,17760,17800,17700,17730,51270,909566390
2007年5月24日,前場,17700,17720,17610,17700,42442,750109480
2007年5月24日,後場,17670,17770,17640,17660,48904,866034150
2007年5月25日,前場,17520,17530,17380,17430,68438,1194771220
2007年5月25日,後場,17440,17490,17410,17450,37864,660796900
2007年5月28日,前場,17550,17630,17540,17600,40461,711408270
2007年5月28日,後場,17630,17640,17560,17600,36383,640195010
2007年5月29日,前場,17540,17700,17520,17680,47403,834411810
2007年5月29日,後場,17650,17700,17620,17680,35461,626504290
2007年5月30日,前場,17650,17730,17560,17610,57690,1017945700
2007年5月30日,後場,17560,17600,17490,17590,76307,1338880090
2007年5月31日,前場,17750,17890,17700,17780,76683,1363934110
2007年5月31日,後場,17840,17880,17810,17860,56372,1006318980
2007年6月1日,前場,17960,18020,17930,18000,50944,915661160
2007年6月1日,後場,17990,18030,17930,17950,48675,875018190
2007年6月4日,前場,18070,18080,17990,18000,38020,686148980
2007年6月4日,後場,17990,18040,17980,18010,35249,634678030
2007年6月5日,前場,18010,18080,17950,18070,49133,885210910
2007年6月5日,後場,18020,18070,18000,18050,36430,657016740
2007年6月6日,前場,18010,18060,17990,18030,32894,592886330
2007年6月6日,後場,18050,18070,18010,18040,29468,531622970
2007年6月7日,前場,17860,17910,17850,17890,29591,529184530
2007年6月7日,後場,17900,18080,17900,18080,30561,550322620
2007年6月8日,前場,17880,17890,17720,17790,79476,1414905610
2007年6月8日,後場,17770,17830,17760,17790,43750,778480820
2007年6月11日,前場,17940,17950,17880,17890,37159,665997920
2007年6月11日,後場,17890,17900,17820,17840,37282,665556720
2007年6月12日,前場,17860,17890,17780,17800,42149,751932670
2007年6月12日,後場,17790,17810,17760,17800,36704,652977320
2007年6月13日,前場,17650,17690,17610,17680,49531,874359620
2007年6月13日,後場,17660,17800,17660,17730,52362,928816740
2007年6月14日,前場,17850,17900,17850,17870,38233,683325270
2007年6月14日,後場,17870,17900,17840,17900,26334,470747250
2007年6月15日,前場,17970,17980,17960,17970,22447,403387630
2007年6月15日,後場,17970,18030,17970,18020,40457,728659480
2007年6月18日,前場,18170,18210,18130,18170,43254,786041450
2007年6月18日,後場,18170,18220,18160,18200,43123,784665430
2007年6月19日,前場,18170,18180,18130,18170,30965,562280510
2007年6月19日,後場,18160,18180,18140,18180,21433,389384790
2007年6月20日,前場,18190,18280,18170,18280,39749,724049890
2007年6月20日,後場,18270,18320,18220,18240,50273,918522760
2007年6月21日,前場,18120,18270,18110,18250,52084,946955460
2007年6月21日,後場,18260,18310,18250,18260,43197,789303930
2007年6月22日,前場,18180,18220,18130,18130,49513,899944040
2007年6月22日,後場,18130,18220,18110,18220,49754,903758140
2007年6月25日,前場,18120,18180,18100,18120,38132,691830530
2007年6月25日,後場,18140,18220,18080,18100,59543,1080793780
2007年6月26日,前場,18130,18140,18040,18070,49505,895363820
2007年6月26日,後場,18080,18120,18050,18090,44976,813629720
2007年6月27日,前場,17990,18010,17950,17960,44222,794915810
2007年6月27日,後場,17960,17970,17850,17850,62717,1122360270
2007年6月28日,前場,17920,17980,17920,17970,38340,687925160
2007年6月28日,後場,17970,17990,17930,17970,37028,664967900
2007年6月29日,前場,18030,18130,18000,18120,50958,920811300
2007年6月29日,後場,18110,18170,18090,18160,52560,953346710
2007年7月2日,前場,18140,18160,18080,18130,32699,592744010
2007年7月2日,後場,18140,18190,18130,18190,32739,594786040
2007年7月3日,前場,18220,18250,18210,18210,26367,480662260
2007年7月3日,後場,18220,18230,18170,18210,36829,670215730
2007年7月4日,前場,18190,18230,18160,18210,34085,620239580
2007年7月4日,後場,18210,18210,18170,18190,24319,442355000
2007年7月5日,前場,18220,18320,18210,18290,42608,778637060
2007年7月5日,後場,18270,18290,18240,18240,27405,500363450
2007年7月6日,前場,18210,18220,18100,18120,52708,956769920
2007年7月6日,後場,18120,18160,18110,18150,25228,457686640
2007年7月9日,前場,18250,18290,18240,18270,29519,538974640
2007年7月9日,後場,18270,18300,18250,18280,25448,465052890
2007年7月10日,前場,18260,18280,18220,18250,30506,556770840
2007年7月10日,後場,18250,18270,18230,18260,23302,425466390
2007年7月11日,前場,18110,18130,18050,18070,53552,968961810
2007年7月11日,後場,18070,18110,18060,18060,32087,580162150
2007年7月12日,前場,18120,18150,18110,18140,29743,539321290
2007年7月12日,後場,18140,18150,17940,17980,77182,1391469910
2007年7月13日,前場,18190,18280,18180,18260,64208,1170659700
2007年7月13日,後場,18270,18300,18240,18270,44417,811489090
2007年7月17日,前場,18260,18270,18190,18220,36385,663263540
2007年7月17日,後場,18210,18250,18190,18210,27737,505453610
2007年7月18日,前場,18150,18160,17970,18040,73550,1328620750
2007年7月18日,後場,18040,18070,17990,18050,43119,777378290
2007年7月19日,前場,18120,18150,18070,18080,41904,758966720
2007年7月19日,後場,18090,18140,18050,18130,39522,715398760
2007年7月20日,前場,18170,18240,18150,18200,41106,748104490
2007年7月20日,後場,18190,18200,18150,18180,28146,511540960
2007年7月23日,前場,17980,18010,17900,17940,56199,1009277970
2007年7月23日,後場,17950,17980,17930,17970,31384,563647650
2007年7月24日,前場,18020,18040,17920,17960,54556,980718240
2007年7月24日,後場,17970,18030,17970,18020,33226,598312280
2007年7月25日,前場,17770,17840,17750,17800,59307,1054783270
2007年7月25日,後場,17810,17900,17810,17860,52679,940795320
2007年7月26日,前場,17830,17840,17790,17820,35304,629135070
2007年7月26日,後場,17820,17880,17670,17700,73971,1314874800
2007年7月27日,前場,17250,17340,17220,17310,83093,1435677050
2007年7月27日,後場,17340,17380,17200,17290,88443,1528580320
2007年7月30日,前場,17070,17140,17040,17130,61704,1054636850
2007年7月30日,後場,17160,17310,17140,17300,78460,1351527940
2007年7月31日,前場,17280,17310,17220,17270,48208,832429690
2007年7月31日,後場,17270,17290,17200,17280,54934,947724790
2007年8月1日,前場,17110,17150,17030,17080,63602,1086792870
2007年8月1日,後場,17050,17060,16810,16810,107049,1811420900
2007年8月2日,前場,16950,17000,16880,16960,58692,994143280
2007年8月2日,後場,16860,17000,16650,16980,121152,2039622710
2007年8月3日,前場,17030,17110,17020,17020,57187,975533400
2007年8月3日,後場,16980,17070,16910,17010,81486,1384484100
2007年8月6日,前場,16700,16870,16660,16840,64399,1078813600
2007年8月6日,後場,16860,16960,16800,16860,68809,1161481680
2007年8月7日,前場,17050,17060,16900,16920,60295,1024315610
2007年8月7日,後場,16970,17000,16870,16940,70033,1185617730
2007年8月8日,前場,16960,17080,16920,17040,68176,1159827160
2007年8月8日,後場,17050,17100,17020,17100,55227,942179150
2007年8月9日,前場,17250,17280,17200,17230,56581,975432170
2007年8月9日,後場,17230,17270,17150,17220,51276,882464300
2007年8月10日,前場,16800,16850,16710,16710,82804,1389898090
2007年8月10日,後場,16740,16850,16650,16750,86401,1447426400
2007年8月13日,前場,16830,16960,16730,16840,76490,1288154090
2007年8月13日,後場,16810,16870,16770,16780,56583,951727120
2007年8月14日,前場,16820,16830,16750,16810,50749,852180960
2007年8月14日,後場,16830,16870,16780,16840,45576,766919760
2007年8月15日,前場,16630,16650,16560,16600,49131,815930020
2007年8月15日,後場,16560,16580,16400,16400,88243,1455839880
2007年8月16日,前場,16240,16240,16020,16040,108884,1759328020
2007年8月16日,後場,15960,16200,15860,16050,154791,2480049130
2007年8月17日,前場,15980,16030,15760,15780,90735,1441948620
2007年8月17日,後場,15730,15820,15230,15300,174532,2709106340
2007年8月20日,前場,15790,15890,15730,15840,81337,1286006960
2007年8月20日,後場,15840,15960,15710,15730,103848,1643962930
2007年8月21日,前場,15770,16000,15740,15980,75410,1195749740
2007年8月21日,後場,16030,16110,15870,15870,107837,1722115870
2007年8月22日,前場,15870,15900,15780,15870,67250,1066127770
2007年8月22日,後場,15940,15960,15860,15910,58943,937591460
2007年8月23日,前場,16260,16340,16240,16300,59396,967436270
2007年8月23日,後場,16290,16380,16220,16360,71202,1160486340
2007年8月24日,前場,16300,16330,16240,16260,45532,741483240
2007年8月24日,後場,16260,16290,16180,16240,58574,951111260
2007年8月27日,前場,16500,16520,16410,16430,30727,505982260
2007年8月27日,後場,16420,16420,16260,16310,49418,807126700
2007年8月28日,前場,16210,16360,16190,16340,41814,679699140
2007年8月28日,後場,16320,16330,16200,16270,46073,749768790
2007年8月29日,前場,15850,15960,15840,15880,54774,870127210
2007年8月29日,後場,15860,16060,15830,16050,61181,975735680
2007年8月30日,前場,16270,16280,16200,16220,41287,670785510
2007年8月30日,後場,16240,16240,16090,16200,63002,1018465250
2007年8月31日,前場,16320,16360,16270,16350,33798,551703230
2007年8月31日,後場,16390,16600,16380,16600,75834,1250329510
2007年9月3日,前場,16500,16590,16460,16470,47504,784554580
2007年9月3日,後場,16480,16540,16450,16540,36119,595975310
2007年9月4日,前場,16460,16520,16400,16460,42299,696328210
2007年9月4日,後場,16430,16480,16390,16400,34421,565435050
2007年9月5日,前場,16520,16560,16400,16410,53712,886067480
2007年9月5日,後場,16410,16410,16140,16190,92471,1504618630
2007年9月6日,前場,15990,16100,15830,16090,82262,1313597620
2007年9月6日,後場,16140,16270,16020,16240,84172,1359278670
2007年9月7日,前場,16140,16230,16100,16160,51010,824299610
2007年9月7日,後場,16160,16180,16020,16100,63074,1015887240
2007年9月10日,前場,15660,15790,15630,15790,71153,1117348140
2007年9月10日,後場,15780,15860,15730,15740,61000,963087860
2007年9月11日,前場,15780,15800,15610,15790,58499,918912570
2007年9月11日,後場,15770,15950,15740,15840,67814,1074811430
2007年9月12日,前場,15960,16020,15920,15930,46897,748922340
2007年9月12日,後場,15890,16050,15720,15780,99727,1582475490
2007年9月13日,前場,15920,15940,15810,15860,37332,593014610
2007年9月13日,後場,15840,15900,15790,15800,28125,445479190
2007年9月14日,前場,15880,15990,15840,15970,55114,877164430
2007年9月14日,後場,16000,16120,15990,16090,79888,1283333380
2007年9月18日,前場,15940,15950,15780,15820,51913,823647430
2007年9月18日,後場,15800,15860,15740,15780,51300,810381370
2007年9月19日,前場,16270,16340,16230,16280,51486,838069450
2007年9月19日,後場,16270,16380,16260,16370,53317,870178260
2007年9月20日,前場,16470,16470,16320,16350,48753,799744360
2007年9月20日,後場,16330,16400,16310,16380,35193,575772270
2007年9月21日,前場,16240,16330,16230,16290,41851,681252920
2007年9月21日,後場,16300,16300,16210,16270,41890,681262150
2007年9月25日,前場,16380,16390,16270,16340,33507,547261580
2007年9月25日,後場,16360,16480,16350,16430,48236,792233990
2007年9月26日,前場,16420,16500,16410,16430,39649,652247230
2007年9月26日,後場,16440,16500,16440,16500,30269,498576500
2007年9月27日,前場,16660,16740,16650,16720,41027,684684520
2007年9月27日,後場,16750,16920,16740,16860,70158,1180628680
2007年9月28日,前場,16980,16980,16810,16810,46280,782764150
2007年9月28日,後場,16860,16900,16780,16830,48326,813690360
2007年10月1日,前場,16840,16950,16840,16900,37889,640019930
2007年10月1日,後場,16880,16880,16720,16850,61082,1026815330
2007年10月2日,前場,17100,17120,17020,17050,40105,684899940
2007年10月2日,後場,17050,17100,17040,17090,35820,611719060
2007年10月3日,前場,17130,17140,17040,17080,31688,541608740
2007年10月3日,後場,17120,17250,17100,17200,52867,908532370
2007年10月4日,前場,17100,17200,17090,17130,48072,824064640
2007年10月4日,後場,17160,17170,17070,17120,40770,698095110
2007年10月5日,前場,17090,17120,17060,17100,28975,495216650
2007年10月5日,後場,17100,17180,17080,17130,44304,758716500
2007年10月9日,前場,17220,17280,17210,17250,31075,535730400
2007年10月9日,後場,17230,17230,17170,17200,36025,619606810
2007年10月10日,前場,17230,17290,17230,17260,29234,504420820
2007年10月10日,後場,17260,17270,17180,17230,33459,575983220
2007年10月11日,前場,17240,17260,17190,17240,31947,550328900
2007年10月11日,後場,17260,17530,17260,17530,89658,1564094820
2007年10月12日,前場,17480,17490,17390,17410,40277,702573390
2007年10月12日,後場,17390,17390,17310,17340,57819,1003137820
2007年10月15日,前場,17440,17470,17380,17390,29801,519415010
2007年10月15日,後場,17360,17420,17330,17400,38065,661407540
2007年10月16日,前場,17280,17320,17140,17210,54043,931277830
2007年10月16日,後場,17250,17270,17130,17130,52644,904483340
2007年10月17日,前場,17140,17150,16960,16990,64678,1103265260
2007年10月17日,後場,17020,17100,16820,16980,112797,1913112630
2007年10月18日,前場,17010,17150,17000,17130,54186,925411590
2007年10月18日,後場,17090,17180,17050,17120,66644,1140898030
2007年10月19日,前場,16950,16950,16810,16860,54116,913098390
2007年10月19日,後場,16820,16860,16730,16820,78954,1326724920
2007年10月22日,前場,16280,16390,16250,16300,60367,985145440
2007年10月22日,後場,16340,16490,16330,16440,63541,1043755180
2007年10月23日,前場,16490,16540,16440,16520,35065,578186710
2007年10月23日,後場,16560,16580,16470,16480,40449,668470700
2007年10月24日,前場,16530,16600,16510,16570,38931,644249080
2007年10月24日,後場,16540,16550,16340,16370,72593,1192719150
2007年10月25日,前場,16430,16470,16360,16400,44210,725868080
2007年10月25日,後場,16370,16380,16210,16280,71490,1164240540
2007年10月26日,前場,16420,16440,16360,16400,39076,641224020
2007年10月26日,後場,16430,16530,16430,16490,63285,1043234220
2007年10月29日,前場,16660,16720,16660,16720,38049,634972530
2007年10月29日,後場,16790,16800,16710,16730,40579,679811670
2007年10月30日,前場,16640,16690,16570,16590,37590,625165960
2007年10月30日,後場,16630,16680,16500,16670,57518,954473750
2007年10月31日,前場,16630,16670,16570,16640,36967,614542050
2007年10月31日,後場,16630,16750,16630,16710,53790,898227180
2007年11月1日,前場,16820,16890,16820,16870,35526,598781030
2007年11月1日,後場,16850,16910,16800,16910,46384,782144860
2007年11月2日,前場,16540,16600,16490,16580,54287,898252700
2007年11月2日,後場,16590,16640,16490,16490,58147,962642110
2007年11月5日,前場,16440,16450,16360,16390,33321,546889290
2007年11月5日,後場,16330,16330,16220,16300,57028,928274020
2007年11月6日,前場,16150,16360,16150,16340,55248,898005420
2007年11月6日,後場,16350,16360,16250,16270,48164,785269360
2007年11月7日,前場,16340,16360,16280,16320,28940,472266370
2007年11月7日,後場,16280,16280,16090,16130,70758,1145401760
2007年11月8日,前場,15780,15860,15720,15730,59020,931866120
2007年11月8日,後場,15730,15800,15630,15740,88886,1397173930
2007年11月9日,前場,15780,15850,15590,15620,71416,1124639800
2007年11月9日,後場,15670,15780,15550,15550,83181,1303466140
2007年11月12日,前場,15230,15290,15150,15230,64017,974808600
2007年11月12日,後場,15140,15220,14970,15220,101344,1531424950
2007年11月13日,前場,15180,15250,15060,15170,66476,1008796390
2007年11月13日,後場,15120,15230,14980,15040,101508,1533178740
2007年11月14日,前場,15400,15480,15360,15410,66824,1030041930
2007年11月14日,後場,15460,15530,15440,15530,59695,924464230
2007年11月15日,前場,15560,15600,15490,15560,45219,703052300
2007年11月15日,後場,15560,15590,15360,15390,64744,1002038780
2007年11月16日,前場,15190,15200,15110,15150,59067,895369680
2007年11月16日,後場,15050,15200,15030,15190,71388,1079159830
2007年11月19日,前場,15210,15310,15210,15210,50587,771856160
2007年11月19日,後場,15140,15210,15040,15070,59989,906616950
2007年11月20日,前場,14830,14850,14750,14750,66921,990571980
2007年11月20日,後場,14780,15240,14770,15210,117549,1766437890
2007年11月21日,前場,15090,15170,15000,15020,67512,1018191460
2007年11月21日,後場,14970,15020,14770,14820,116071,1727247750
2007年11月22日,前場,14680,14870,14660,14780,89970,1327000390
2007年11月22日,後場,14880,15010,14800,14800,92328,1376063900
2007年11月26日,前場,14960,15110,14950,15080,49295,740414000
2007年11月26日,後場,15190,15310,15130,15200,86187,1311305450
2007年11月27日,前場,14830,14930,14800,14830,51943,771722990
2007年11月27日,後場,15210,15350,15040,15240,118852,1807754940
2007年11月28日,前場,15260,15290,15130,15190,51248,779851530
2007年11月28日,後場,15170,15220,15090,15160,60337,914622700
2007年11月29日,前場,15520,15550,15460,15510,49517,767929740
2007年11月29日,後場,15560,15570,15470,15570,50731,787451430
2007年11月30日,前場,15550,15700,15530,15690,46037,718083870
2007年11月30日,後場,15720,15760,15620,15730,60377,947355280
2007年12月3日,前場,15780,15810,15640,15650,41180,647803700
2007年12月3日,後場,15690,15710,15580,15700,63752,997329760
2007年12月4日,前場,15650,15690,15540,15580,44150,689137560
2007年12月4日,後場,15610,15620,15440,15470,64751,1004701410
2007年12月5日,前場,15430,15470,15360,15430,44358,683615790
2007年12月5日,後場,15430,15680,15410,15650,77094,1199356160
2007年12月6日,前場,15860,15890,15800,15860,42998,681429330
2007年12月6日,後場,15820,15930,15750,15930,67211,1064338550
2007年12月7日,前場,16010,16070,15990,16030,47166,756138960
2007年12月7日,後場,16040,16120,15920,15940,69818,1118330090
2007年12月10日,前場,16010,16040,15820,15890,42855,682348700
2007年12月10日,後場,15880,15950,15830,15890,58056,922574000
2007年12月11日,前場,16030,16090,16020,16050,31420,504206990
2007年12月11日,後場,16050,16090,15970,16080,44602,714996010
2007年12月12日,前場,15700,15800,15690,15750,38732,610045290
2007年12月12日,後場,15720,15980,15700,15900,59763,947964770
2007年12月13日,前場,15820,15840,15710,15730,30835,486485800
2007年12月13日,後場,15720,15760,15490,15520,44097,689250960
2007年12月14日,前場,15620,15730,15550,15660,60458,945903450
2007年12月14日,後場,15640,15680,15460,15570,79256,1233499670
2007年12月17日,前場,15440,15550,15430,15510,36253,561103040
2007年12月17日,後場,15420,15450,15230,15240,58413,896234930
2007年12月18日,前場,15090,15210,15030,15160,57147,863812000
2007年12月18日,後場,15270,15340,15130,15170,69886,1063579790
2007年12月19日,前場,15190,15280,15170,15230,33590,511395040
2007年12月19日,後場,15270,15300,15050,15090,49085,743768220
2007年12月20日,前場,15180,15200,15100,15180,27302,413809290
2007年12月20日,後場,15180,15200,15010,15010,43394,655013880
2007年12月21日,前場,15090,15240,15030,15220,47358,716563020
2007年12月21日,後場,15260,15330,15160,15320,52810,806231240
2007年12月25日,前場,15640,15650,15560,15570,24264,378652540
2007年12月25日,後場,15580,15640,15530,15640,22646,352969760
2007年12月26日,前場,15650,15660,15600,15630,15174,237189990
2007年12月26日,後場,15620,15730,15610,15710,19600,307203380
2007年12月27日,前場,15650,15670,15560,15600,20724,323708540
2007年12月27日,後場,15610,15650,15560,15600,22585,352323890
2007年12月28日,前場,15430,15440,15240,15250,46929,719722440
2007年12月28日,後場,-,-,-,-,0,0
2008年1月4日,前場,14900,14900,14560,14660,73845,1087408900
2008年1月4日,後場,-,-,-,-,0,0
2008年1月7日,前場,14500,14700,14460,14560,45606,664742580
2008年1月7日,後場,14570,14620,14430,14460,50431,732746120
2008年1月8日,前場,14440,14500,14380,14490,43817,632616120
2008年1月8日,後場,14520,14570,14410,14540,50948,738977770
2008年1月9日,前場,14310,14490,14260,14470,57679,828396270
2008年1月9日,後場,14520,14630,14460,14600,59096,860214280
2008年1月10日,前場,14560,14610,14480,14510,41166,598717010
2008年1月10日,後場,14480,14540,14380,14400,46812,676955950
2008年1月11日,前場,14480,14490,14270,14300,57813,831754270
