,O,H,L,C,V,C2,SS,CL,BSTL,SSTL,vora,plb,pls,sumB,sumS,sum
2015-01-05,2750.0,2770.0,2740.0,2750.0,239000.0,2750.0,0.1,,8.656e-321,7.7159362e-316,,0.0,0.0,0.0,0.0,0.0
2015-01-06,2740.0,2750.0,2700.0,2720.0,480000.0,2720.0,0.1,2750.0,0.0,7.71564454e-316,2750.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,2700.0,2730.0,2700.0,2710.0,217000.0,2710.0,0.1,2720.0,0.0,7.7155623e-316,2720.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,2720.0,2740.0,2710.0,2730.0,175000.0,2730.0,0.1,2710.0,0.0,7.71553387e-316,2710.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,2730.0,2750.0,2700.0,2750.0,418000.0,2750.0,0.1,2730.0,0.0,7.7155813e-316,2730.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,2740.0,2740.0,2710.0,2730.0,243000.0,2730.0,0.1,2750.0,0.0,7.7156382e-316,2750.0,0.0,0.0,0.0,0.0,0.0
2015-01-14,2710.0,2760.0,2710.0,2740.0,368000.0,2740.0,0.1,2730.0,0.0,7.8102901e-316,2730.0,0.0,0.0,0.0,0.0,0.0
2015-01-15,2740.0,2760.0,2740.0,2750.0,139000.0,2750.0,0.1,2740.0,0.0,7.810366e-316,2740.0,0.0,0.0,0.0,0.0,0.0
2015-01-16,2750.0,2750.0,2720.0,2730.0,235000.0,2730.0,0.1,2750.0,0.0,7.81027115e-316,2750.0,0.0,0.0,0.0,0.0,0.0
2015-01-19,2740.0,2750.0,2720.0,2740.0,231000.0,2740.0,0.1,2730.0,0.0,7.8102933e-316,2730.0,0.0,0.0,0.0,0.0,0.0
2015-01-20,2750.0,2760.0,2740.0,2760.0,217000.0,2760.0,0.1,2740.0,5470.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0
2015-01-21,2760.0,2760.0,2730.0,2740.0,141000.0,2740.0,0.1,2760.0,2778.0,2742.0,26.0,0.0,-2909.0,0.0,-2909.0,-2909.0
2015-01-22,2750.0,2750.0,2730.0,2750.0,149000.0,2750.0,0.1,2740.0,2766.0,2714.0,18.0,0.0,0.0,0.0,-2909.0,-2909.0
2015-01-23,2750.0,2760.0,2730.0,2760.0,244000.0,2760.0,0.1,2750.0,2768.0,2732.0,26.0,0.0,-10144.0,0.0,-13053.0,-13053.0
2015-01-26,2760.0,2760.0,2740.0,2760.0,138000.0,2760.0,0.1,2760.0,2786.0,2734.0,18.0,0.0,0.0,0.0,-13053.0,-13053.0
