"now","日付","コード","経常利益率","名称","セクター","時価総額","自己資本比率","株主数","【設立】","【上場】","【会社業績修正】","外国","浮動株","貸借優待","ROE予","ROA予","営業CF今年","営業CF前年","利益剰余金","BPS円今年","BPS円前年","MON0","MON1","MON2","MON3","MON4","MON5","MON6","MON7","MON8","MON9","MON10","MON11","MON12","MON13","MON14","MON15","MON16","MON17","MON18","MON19","MON20","MON21","MON22","MON23","MON24","MON_COM0","MON_COM1","MON_COM2","MON_COM3","MON_COM4","MON_COM5","MON_COM6","MON_COM7","MON_COM8","MON_COM9","MON_COM10","MON_COM11","MON_COM12","MON_COM13","MON_COM14","MON_COM15","MON_COM16","MON_COM17","MON_COM18","MON_COM19","MON_COM20","MON_COM21","MON_COM22","MON_COM23","MON_COM24"
"2018/07/26 22:52:57","201403","8912","2.222","(株)エリアクエストえりあくえすと","不動産業","27.9","53.6","5248","2000.1","2003.2","None","0.7","16.2","[貸借]","None","None","89","5","-578","27.2","25.3","1.025","0.943","0.885","0.984","1.0","0.943","0.918","0.967","0.967","0.91","0.934","1.0","1.074","1.221","1.09","1.123","1.189","1.049","0.967","1.033","1.016","0.918","0.902","0.77","0.893","0.989","0.94","0.856","0.903","0.913","0.869","0.81","0.847","0.801","0.753","0.771","0.765","0.806","0.889","0.756","0.798","0.841","0.803","0.799","0.772","0.748","0.69","0.729","0.689","0.772"
"2018/07/26 22:54:10","201403","9424","1.397","日本通信にほんつうしん","情報・通信業","241","50.0","15054","1996.5","2005.4","None","23.2","9.9","","None","None","269","311","253","2161","1851","1.939","2.695","4.207","5.872","7.232","4.524","3.726","2.909","3.238","3.415","3.122","3.506","3.024","2.713","2.811","2.537","2.561","1.835","1.902","1.829","2.079","1.652","1.079","1.354","1.299","1.872","2.687","4.069","5.387","6.605","4.17","3.289","2.547","2.683","2.827","2.576","2.682","2.27","1.975","1.949","1.802","1.812","1.404","1.571","1.367","1.531","1.241","0.872","1.212","1.123"
"2018/07/26 22:59:03","201406","2413","1.337","エムスリーえむすりー","サービス業","5023","73.5","13300","2000.9","2004.9","上方0　下方0経常益÷期初会社予想1.1倍","35.1","3.9","[貸借]","None","None","8647","5810","24490","113.1","70.0","0.947","0.983","1.068","1.033","1.082","1.199","1.188","1.399","1.561","1.498","1.331","1.389","1.446","1.716","1.651","1.39","1.384","1.59","1.481","1.602","1.579","1.663","1.767","1.87","1.941","0.951","0.982","1.078","0.998","1.037","1.087","1.077","1.264","1.307","1.231","1.061","1.054","1.124","1.329","1.383","1.257","1.133","1.282","1.218","1.418","1.547","1.556","1.662","1.711","1.912"
"2018/07/26 22:59:05","201406","2427","1.222","(株)アウトソーシングあうとそーしんぐ","サービス業","210","25.1","5111","1997.1","2004.12","上方0　下方1経常益÷期初会社予想0.8倍","14.9","11.1","[貸借][優待]","None","None","1298","1062","3982","368.6","366.7","0.915","0.837","1.006","1.066","0.992","1.064","1.127","1.153","1.167","1.156","1.027","1.101","1.316","1.53","1.726","1.627","1.39","2.01","2.004","2.101","1.95","2.437","2.268","2.889","3.084","0.919","0.836","1.015","1.03","0.951","0.965","1.022","1.042","0.977","0.95","0.818","0.835","1.023","1.185","1.446","1.471","1.137","1.621","1.648","1.859","1.91","2.28","2.134","2.643","3.038"
"2018/07/26 23:02:31","201406","3622","1.217","ネットイヤーグループねっといやーぐるーぷ","情報・通信業","103","60.4","7233","1999.7","2008.3","上方2　下方0経常益÷期初会社予想1.2倍","6.2","37.4","","None","None","82","265","737","279.0","276.1","0.909","0.935","0.801","0.751","0.644","0.723","0.634","0.645","0.65","0.564","0.631","0.698","0.676","0.626","0.48","0.419","0.495","0.5","0.419","0.392","0.357","0.606","0.547","0.946","0.64","0.913","0.934","0.808","0.726","0.617","0.655","0.575","0.583","0.544","0.463","0.503","0.53","0.526","0.485","0.402","0.379","0.405","0.403","0.345","0.347","0.35","0.567","0.515","0.866","0.631"
"2018/07/26 23:03:19","201406","3807","1.25","(株)フィスコふぃすこ","情報・通信業","83.9","35.8","3031","1995.5","2006.6","上方1　下方0経常益÷期初会社予想1.1倍","49.1","18.4","[優待]","None","None","-447","787","461","329.9","352.0","0.912","2.372","1.646","1.457","1.134","1.371","1.271","1.357","1.512","1.464","1.446","1.416","1.394","1.397","1.205","0.953","0.953","0.971","1.357","1.327","1.234","1.794","1.483","1.353","1.19","0.916","2.37","1.661","1.408","1.087","1.243","1.152","1.226","1.266","1.203","1.152","1.074","1.084","1.082","1.009","0.862","0.78","0.783","1.116","1.174","1.209","1.678","1.395","1.238","1.172"
"2018/07/26 23:07:41","201406","5923","1.399","高田機工たかだきこう","金属製品","42.9","65.9","2421","1932.3","1962.6","上方0　下方3経常益÷期初会社予想-7.1倍","1.2","33.1","[貸借]","None","None","-1186","2024","5250","705.4","796.7","1.026","1.133","1.168","1.184","1.112","1.235","1.352","1.347","1.301","1.286","1.311","1.357","1.255","1.224","1.133","1.077","1.158","1.128","1.097","1.031","0.949","1.026","1.041","1.036","0.944","1.03","1.132","1.179","1.144","1.066","1.12","1.226","1.217","1.09","1.057","1.045","1.03","0.976","0.948","0.949","0.974","0.948","0.91","0.902","0.912","0.929","0.96","0.979","0.948","0.93"
"2018/07/26 23:16:04","201406","8703","1.222","カブドットコム証券かぶどっとこむしょうけん","証券・商品先物取引業","771","6.0","45184","1999.11","2005.3","上方0　下方0経常益÷期初会社予想･･","6.2","15.8","[貸借][優待]","None","None","-267","-115","19633","239.9","204.1","0.965","0.94","0.95","1.037","1.048","1.137","1.153","1.242","1.42","1.526","1.706","1.667","1.586","1.632","1.536","1.493","1.547","1.544","1.47","1.4","1.311","1.393","1.373","1.451","1.292","0.969","0.939","0.959","1.002","1.005","1.031","1.045","1.122","1.189","1.254","1.359","1.265","1.233","1.264","1.286","1.35","1.266","1.245","1.209","1.239","1.284","1.303","1.292","1.328","1.273"
"2018/07/26 23:24:31","201409","3175","1.345","(株)エー・ピーカンパニーえー・ぴーかんぱにー","小売業","152","28.2","3309","2006.6","2012.9","None","3.2","14.0","[優待]","None","None","1459","1112","1751","366.3","338.7","1.009","0.796","0.871","0.904","0.975","1.002","0.889","0.858","0.912","0.984","0.995","0.848","0.708","0.755","0.841","0.758","0.675","0.552","0.563","0.56","0.511","0.428","0.406","0.348","0.346","1.008","0.79","0.817","0.847","0.911","0.868","0.756","0.707","0.716","0.792","0.797","0.734","0.662","0.639","0.701","0.645","0.618","0.559","0.545","0.545","0.483","0.447","0.409","0.348","0.349"
"2018/07/26 23:29:01","201409","4667","1.217","アイサンテクノロジーあいさんてくのろじー","情報・通信業","101","53.2","1775","1970.8","1997.4","None","1.3","18.3","","None","None","346","166","269","290.6","291.7","0.881","0.8","0.968","1.067","1.358","1.132","0.93","0.964","0.969","0.925","0.8","0.647","0.593","1.103","2.044","4.067","2.36","1.991","3.2","3.08","2.938","2.036","1.867","2.236","1.962","0.88","0.794","0.908","1.0","1.269","0.981","0.791","0.795","0.761","0.744","0.641","0.56","0.554","0.934","1.705","3.461","2.161","2.017","3.098","2.999","2.78","2.125","1.88","2.238","1.982"
