now,stockname,CNT,WIN,PL,AVG,CNT_A,WIN_A,PL_A,AVG_A,WIN_COMP,PL_COMP
2018/07/26 22:13:44,1320_2015L_PL,241,59.34,1.4,1419,37,51.35,1.06,308,-0.135,-0.243
2018/07/26 22:13:45,1320_2015S_PL,208,50.0,1.27,1146,40,40.0,0.88,-918,-0.2,-0.307
2018/07/26 22:13:47,1320_2016L_PL,235,58.3,1.3,1171,35,57.14,1.18,518,-0.02,-0.092
2018/07/26 22:13:47,1320_2016S_PL,216,48.15,1.18,856,39,43.59,0.85,-434,-0.095,-0.28
2018/07/26 22:13:49,1320_2017L_PL,231,57.58,1.24,935,17,70.59,1.57,1071,0.226,0.266
2018/07/26 22:13:49,1320_2017S_PL,224,48.21,1.12,516,21,57.14,2.12,3034,0.185,0.893
2018/07/26 22:13:51,1321_2013L_PL,218,58.26,1.51,2155,31,64.52,1.33,976,0.107,-0.119
2018/07/26 22:13:51,1321_2013S_PL,228,50.44,1.7,3073,30,50.0,0.92,-261,-0.009,-0.459
2018/07/26 22:13:53,1321_2014L_PL,222,59.91,1.42,1637,43,55.81,0.81,-808,-0.068,-0.43
2018/07/26 22:13:53,1321_2014S_PL,217,48.39,1.22,980,38,42.11,1.61,2603,-0.13,0.32
2018/07/26 22:13:54,1321_2015L_PL,225,60.89,1.35,1299,36,50.0,0.82,-1093,-0.179,-0.393
2018/07/26 22:13:55,1321_2015S_PL,220,48.64,1.35,1401,40,40.0,0.86,-1091,-0.178,-0.363
2018/07/26 22:13:56,1321_2016L_PL,228,58.77,1.16,669,41,56.1,1.18,543,-0.045,0.017
2018/07/26 22:13:56,1321_2016S_PL,226,48.23,1.18,854,35,48.57,1.11,261,0.007,-0.059
2018/07/26 22:13:57,1321_2017L_PL,235,57.02,1.1,417,22,63.64,1.79,1404,0.116,0.627
2018/07/26 22:13:58,1321_2017S_PL,227,49.78,1.21,901,18,55.56,2.06,2772,0.116,0.702
2018/07/26 22:14:25,1326_2013L_PL,148,58.11,1.32,1315,27,59.26,1.81,1640,0.02,0.371
2018/07/26 22:14:25,1326_2013S_PL,139,53.96,1.53,2178,31,38.71,0.82,-503,-0.283,-0.464
2018/07/26 22:14:27,1326_2014L_PL,163,58.9,1.55,1710,22,36.36,0.38,-2213,-0.383,-0.755
2018/07/26 22:14:28,1326_2014S_PL,156,48.08,1.11,453,35,48.57,1.73,1369,0.01,0.559
2018/07/26 22:14:30,1326_2015L_PL,159,56.6,1.5,1426,34,67.65,2.95,2484,0.195,0.967
2018/07/26 22:14:30,1326_2015S_PL,165,48.48,1.15,559,35,54.29,0.78,-607,0.12,-0.322
2018/07/26 22:14:32,1326_2016L_PL,171,58.48,1.61,1522,22,36.36,0.7,-389,-0.378,-0.565
2018/07/26 22:14:32,1326_2016S_PL,179,49.72,1.03,112,22,36.36,0.29,-2016,-0.269,-0.718
2018/07/26 22:14:34,1326_2017L_PL,165,52.73,1.25,623,18,38.89,0.33,-2136,-0.262,-0.736
2018/07/26 22:14:35,1326_2017S_PL,178,46.63,0.84,-587,28,50.0,0.53,-1578,0.072,-0.369
2018/07/26 22:14:49,1329_2013L_PL,209,59.81,1.63,2362,33,66.67,1.73,1775,0.115,0.061
2018/07/26 22:14:49,1329_2013S_PL,192,47.92,1.13,809,27,55.56,1.71,2082,0.159,0.513
2018/07/26 22:14:51,1329_2014L_PL,215,62.33,1.64,2194,36,61.11,0.94,-214,-0.02,-0.427
2018/07/26 22:14:52,1329_2014S_PL,186,48.39,1.05,278,36,38.89,1.18,946,-0.196,0.124
2018/07/26 22:14:54,1329_2015L_PL,214,61.21,1.44,1522,34,55.88,2.4,3863,-0.087,0.667
2018/07/26 22:14:54,1329_2015S_PL,196,46.94,1.2,934,38,42.11,0.84,-1349,-0.103,-0.3
2018/07/26 22:14:56,1329_2016L_PL,219,62.56,1.59,1946,44,61.36,1.25,783,-0.019,-0.214
2018/07/26 22:14:57,1329_2016S_PL,204,46.08,1.08,439,35,45.71,0.91,-266,-0.008,-0.157
2018/07/26 22:14:59,1329_2017L_PL,231,61.9,1.44,1497,17,47.06,0.6,-1345,-0.24,-0.583
2018/07/26 22:14:59,1329_2017S_PL,208,46.15,1.02,103,20,60.0,2.31,3480,0.3,1.265
2018/07/26 22:15:01,1330_2013L_PL,216,61.11,1.87,3195,29,68.97,1.54,1460,0.129,-0.176
2018/07/26 22:15:01,1330_2013S_PL,224,51.79,1.41,2064,30,50.0,0.99,-34,-0.035,-0.298
2018/07/26 22:15:03,1330_2014L_PL,215,64.65,1.84,2723,45,55.56,0.97,-133,-0.141,-0.473
2018/07/26 22:15:04,1330_2014S_PL,216,50.46,1.11,502,39,43.59,1.7,2550,-0.136,0.532
2018/07/26 22:15:06,1330_2015L_PL,221,63.35,1.55,1848,35,45.71,0.76,-1523,-0.278,-0.51
2018/07/26 22:15:06,1330_2015S_PL,222,48.65,1.12,524,42,38.1,0.93,-485,-0.217,-0.17
2018/07/26 22:15:08,1330_2016L_PL,227,60.35,1.3,1169,32,68.75,1.67,1628,0.139,0.285
2018/07/26 22:15:08,1330_2016S_PL,229,48.03,1.06,272,37,45.95,0.89,-297,-0.043,-0.16
2018/07/26 22:15:09,1330_2017L_PL,219,61.64,1.29,1105,21,61.9,1.9,1618,0.004,0.473
2018/07/26 22:15:09,1330_2017S_PL,234,47.44,1.0,19,21,57.14,2.2,2973,0.204,1.2
2018/07/26 22:15:11,1332_2013L_PL,260,46.54,0.83,-1355,38,63.16,2.41,6919,0.357,1.904
2018/07/26 22:15:11,1332_2013S_PL,253,43.08,0.96,-285,45,40.0,0.61,-3333,-0.071,-0.365
2018/07/26 22:15:12,1332_2014L_PL,250,49.6,1.15,914,47,48.94,1.91,5426,-0.013,0.661
2018/07/26 22:15:13,1332_2014S_PL,251,42.63,0.82,-1318,33,57.58,1.93,4121,0.351,1.354
