,O,H,L,C,V,C2,SS,rng7,avg7,rng30,avg30,rng200,avg200,CL,BSTL,SSTL,vora,plb,pls,sumB,sumS,sum
2015-10-27,2670.0,2670.0,2620.0,2620.0,233000.0,2620.0,0.1,0.86,0.01,0.95,0.03,0.33,-0.04,,1.414368e+18,,1e-323,0.0,0.0,0.0,0.0,0.0
2015-10-28,2640.0,2640.0,2610.0,2620.0,99000.0,2620.0,0.1,0.0,-0.01,0.63,0.0,0.22,-0.06,2620.0,1.4144544e+18,2490.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-29,2630.0,2640.0,2620.0,2620.0,80000.0,2620.0,0.1,0.12,-0.01,0.63,0.0,0.22,-0.06,2620.0,1.4145408e+18,2570.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-30,2620.0,2640.0,2610.0,2620.0,91000.0,2620.0,0.1,0.12,-0.01,0.63,0.0,0.22,-0.06,2620.0,1.4146272e+18,2590.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-02,2620.0,2640.0,2610.0,2610.0,149000.0,2610.0,0.1,0.12,-0.01,0.63,0.0,0.22,-0.06,2620.0,1.4147136e+18,2570.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-04,2630.0,2630.0,2620.0,2620.0,104000.0,2620.0,0.1,0.0,-0.01,0.58,-0.0,0.2,-0.06,2610.0,1.4150592e+18,2600.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-05,2620.0,2630.0,2620.0,2620.0,75000.0,2620.0,0.1,0.12,-0.0,0.63,0.0,0.22,-0.06,2620.0,1.4151456e+18,2590.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-06,2630.0,2660.0,2630.0,2660.0,112000.0,2660.0,0.1,0.17,0.0,0.63,0.0,0.22,-0.06,2620.0,1.415232e+18,2600.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-09,2660.0,2690.0,2660.0,2690.0,139000.0,2690.0,0.1,1.0,0.01,0.84,0.01,0.29,-0.05,2660.0,1.4153184e+18,2580.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-10,2680.0,2690.0,2670.0,2690.0,251000.0,2690.0,0.1,1.0,0.02,1.0,0.02,0.35,-0.04,2690.0,1.4155776e+18,2610.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-11,2690.0,2700.0,2670.0,2680.0,241000.0,2680.0,0.1,1.0,0.02,1.0,0.02,0.35,-0.03,2690.0,2690.0,2690.0,26.0,0.0,0.0,0.0,0.0,0.0
2015-11-12,2670.0,2690.0,2670.0,2690.0,139000.0,2690.0,0.1,0.78,0.01,0.85,0.02,0.33,-0.04,2680.0,2706.0,2654.0,18.0,0.0,0.0,0.0,0.0,0.0
2015-11-13,2670.0,2680.0,2670.0,2680.0,155000.0,2680.0,0.1,0.88,0.01,0.92,0.02,0.35,-0.03,2690.0,2708.0,2672.0,18.0,0.0,0.0,0.0,0.0,0.0
2015-11-16,2660.0,2680.0,2650.0,2660.0,116000.0,2660.0,0.1,0.75,0.0,0.85,0.02,0.33,-0.04,2680.0,2698.0,2662.0,26.0,0.0,0.0,0.0,0.0,0.0
2015-11-17,2680.0,2690.0,2650.0,2660.0,256000.0,2660.0,0.1,0.43,-0.01,0.69,0.01,0.29,-0.05,2660.0,2686.0,2634.0,35.0,-5956.0,0.0,-5956.0,0.0,-5956.0
2015-11-18,2670.0,2680.0,2660.0,2660.0,94000.0,2660.0,0.1,0.2,-0.01,0.67,0.01,0.29,-0.05,2660.0,2695.0,2625.0,18.0,0.0,0.0,-5956.0,0.0,-5956.0
2015-11-19,2660.0,2680.0,2660.0,2670.0,110000.0,2670.0,0.1,0.2,-0.01,0.56,0.01,0.29,-0.04,2660.0,2678.0,2642.0,18.0,-2987.0,0.0,-8943.0,0.0,-8943.0
2015-11-20,2670.0,2670.0,2660.0,2670.0,101000.0,2670.0,0.1,0.4,-0.0,0.67,0.01,0.31,-0.04,2670.0,2688.0,2652.0,9.0,0.0,0.0,-8943.0,0.0,-8943.0
2015-11-24,2680.0,2680.0,2660.0,2660.0,116000.0,2660.0,0.1,0.5,0.0,0.67,0.01,0.31,-0.04,2670.0,2679.0,2661.0,18.0,0.0,375.0,-8943.0,375.0,-8568.0
2015-11-25,2660.0,2680.0,2650.0,2650.0,198000.0,2650.0,0.1,0.25,-0.0,0.56,0.0,0.29,-0.04,2660.0,2678.0,2642.0,26.0,-6721.0,0.0,-15664.0,375.0,-15289.0
2015-11-26,2660.0,2680.0,2660.0,2660.0,86000.0,2660.0,0.1,0.0,-0.0,0.44,0.0,0.27,-0.05,2650.0,2676.0,2624.0,26.0,-5979.0,0.0,-21643.0,375.0,-21268.0
2015-11-27,2660.0,2670.0,2660.0,2660.0,142000.0,2660.0,0.1,0.25,-0.0,0.56,0.0,0.29,-0.04,2660.0,2686.0,2634.0,9.0,0.0,0.0,-21643.0,375.0,-21268.0
2015-11-30,2680.0,2680.0,2650.0,2670.0,176000.0,2670.0,0.1,0.33,-0.0,0.56,0.0,0.29,-0.04,2660.0,2669.0,2651.0,26.0,0.0,-7116.0,-21643.0,-6741.0,-28384.0
2015-12-01,2670.0,2680.0,2660.0,2680.0,125000.0,2680.0,0.1,0.67,0.0,0.67,0.01,0.31,-0.04,2670.0,2696.0,2644.0,18.0,0.0,0.0,-21643.0,-6741.0,-28384.0
2015-12-02,2680.0,2690.0,2660.0,2690.0,203000.0,2690.0,0.1,1.0,0.01,0.78,0.01,0.33,-0.04,2680.0,2698.0,2662.0,26.0,0.0,-10408.0,-21643.0,-17149.0,-38792.0
2015-12-03,2690.0,2700.0,2680.0,2690.0,179000.0,2690.0,0.1,1.0,0.01,0.89,0.01,0.35,-0.03,2690.0,2716.0,2664.0,18.0,0.0,0.0,-21643.0,-17149.0,-38792.0
2015-12-04,2690.0,2690.0,2670.0,2690.0,198000.0,2690.0,0.1,0.8,0.01,0.89,0.01,0.35,-0.03,2690.0,2708.0,2672.0,18.0,0.0,-6691.0,-21643.0,-23840.0,-45483.0
2015-12-07,2690.0,2730.0,2690.0,2700.0,303000.0,2700.0,0.1,0.8,0.0,0.89,0.01,0.35,-0.03,2690.0,2708.0,2672.0,35.0,-2954.0,0.0,-24597.0,-23840.0,-48437.0
2015-12-08,2700.0,2700.0,2670.0,2670.0,216000.0,2670.0,0.1,0.62,0.01,0.75,0.01,0.36,-0.03,2700.0,2735.0,2665.0,26.0,0.0,0.0,-24597.0,-23840.0,-48437.0
2015-12-09,2670.0,2680.0,2650.0,2650.0,178000.0,2650.0,0.1,0.25,-0.01,0.5,0.0,0.31,-0.04,2670.0,2696.0,2644.0,26.0,0.0,0.0,-24597.0,-23840.0,-48437.0
2015-12-10,2660.0,2660.0,2630.0,2630.0,316000.0,2630.0,0.1,0.0,-0.01,0.33,-0.0,0.27,-0.05,2650.0,2676.0,2624.0,26.0,0.0,0.0,-24597.0,-23840.0,-48437.0
2015-12-11,2640.0,2650.0,2620.0,2630.0,417000.0,2630.0,0.1,0.0,-0.02,0.17,-0.01,0.24,-0.05,2630.0,2656.0,2604.0,26.0,0.0,0.0,-24597.0,-23840.0,-48437.0
2015-12-14,2610.0,2620.0,2600.0,2600.0,239000.0,2600.0,0.1,0.09,-0.01,0.17,-0.01,0.24,-0.05,2630.0,2656.0,2604.0,26.0,0.0,-6106.0,-24597.0,-29946.0,-54543.0
