date,Close
2017/8/31 13:33,531179
2017/8/31 14:03,535079
2017/8/31 14:33,535670
2017/8/31 15:03,530000
2017/8/31 15:33,532350
2017/8/31 16:03,534590
2017/8/31 16:33,534381
2017/8/31 17:03,531779
2017/8/31 17:33,534309
2017/8/31 18:03,534264
2017/8/31 18:33,534075
2017/8/31 19:04,535387
2017/8/31 19:33,533542
2017/8/31 20:03,532178
2017/8/31 20:33,533344
2017/8/31 21:03,533848
2017/8/31 21:33,533098
2017/8/31 22:03,532987
2017/8/31 22:33,533725
2017/8/31 23:03,534700
2017/8/31 23:33,534590
2017/9/1 0:03,533893
2017/9/1 0:33,536200
2017/9/1 1:03,540863
2017/9/1 1:33,542718
2017/9/1 2:03,540295
2017/9/1 2:33,541716
2017/9/1 3:03,540886
2017/9/1 3:33,538946
2017/9/1 4:03,538000
2017/9/1 4:33,537795
2017/9/1 5:03,535974
2017/9/1 5:33,537090
2017/9/1 6:03,531890
2017/9/1 6:33,532287
2017/9/1 7:03,536890
2017/9/1 7:33,536400
2017/9/1 8:03,541800
2017/9/1 8:33,544837
2017/9/1 9:03,542999
2017/9/1 9:33,543775
2017/9/1 10:03,543000
2017/9/1 10:33,544013
2017/9/1 11:03,539500
2017/9/1 11:33,543249
2017/9/1 12:03,542287
2017/9/1 12:33,546700
2017/9/1 13:03,547600
2017/9/1 13:33,548499
2017/9/1 14:03,546600
2017/9/1 14:33,545554
2017/9/1 15:03,545628
2017/9/1 15:33,546980
2017/9/1 16:03,546395
2017/9/1 16:33,545586
2017/9/1 17:03,544400
2017/9/1 17:33,546450
2017/9/1 18:03,547250
2017/9/1 18:33,546793
2017/9/1 19:03,546487
2017/9/1 19:33,546800
2017/9/1 20:03,550452
2017/9/1 20:33,550257
2017/9/1 21:03,547650
2017/9/1 21:33,548287
2017/9/1 22:03,549889
2017/9/1 22:33,550386
2017/9/1 23:03,553199
2017/9/1 23:33,552829
2017/9/2 0:03,559010
2017/9/2 0:33,559900
2017/9/2 1:03,560318
2017/9/2 1:33,564240
2017/9/2 2:03,569827
2017/9/2 2:33,569808
